flight_id,airline,source,destination,route,departure_time,arrival_time,departure_date,arrival_date,departure_hour,arrival_hour,departure_day,duration_minutes,duration_hours,is_overnight,data_quality_flag
SJ010,SPICEJET,CCU,MAA,CCU → MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,2026-04-20,2026-04-21,23,2,Monday,174.0,2.9,True,VALID
AI155,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,2026-04-20,2026-04-21,23,1,Monday,108.0,1.8,True,VALID
UK094,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,2026-04-20,2026-04-21,23,1,Monday,105.0,1.75,True,VALID
AI245,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,2026-04-20,2026-04-21,23,1,Monday,156.0,2.6,True,VALID
AI192,AIR INDIA,MAA,BOM,MAA → BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,2026-04-20,2026-04-21,23,4,Monday,299.0,4.983333333333333,True,VALID
SJ158,SPICEJET,DEL,HYD,DEL → HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,2026-04-20,2026-04-21,23,1,Monday,139.0,2.316666666666667,True,VALID
6F196,INDIGO,CCU,MAA,CCU → MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,2026-04-20,2026-04-21,23,0,Monday,103.0,1.7166666666666666,True,VALID
AI080,AIR INDIA,BOM,HYD,BOM → HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,2026-04-20,2026-04-21,23,0,Monday,92.0,1.5333333333333334,True,VALID
6F025,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,2026-04-20,2026-04-20,23,23,Monday,55.0,0.9166666666666666,False,VALID
6F251,UNKNOWN,DEL,BLR,DEL → BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,2026-04-20,2026-04-20,22,23,Monday,41.0,0.6833333333333333,False,VALID
AI137,AIR INDIA,BOM,DEL,BOM → DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,2026-04-20,2026-04-21,22,1,Monday,148.0,2.466666666666667,True,VALID
6F026,INDIGO,BOM,CCU,BOM → CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,2026-04-20,2026-04-21,22,3,Monday,267.0,4.45,True,VALID
UK167,VISTARA,DEL,MAA,DEL → MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,2026-04-20,2026-04-21,22,1,Monday,181.0,3.0166666666666666,True,VALID
UK027,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,2026-04-20,2026-04-21,22,1,Monday,141.0,2.35,True,VALID
AI069,UNKNOWN,DEL,BOM,DEL → BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,2026-04-20,2026-04-21,22,2,Monday,226.0,3.7666666666666666,True,VALID
